#MainDesig,ProbClass,ProbProb
183294,Ad,0.96
4373,S,0.99
12279,V,0.70
13530,V,1.00
160371,Ad,0.39
116170,D,0.30
9290,S,0.97
120175,D,0.50
35636,S,0.48
96988,Ad,0.62
161568,Ad,0.62
10465,Kl,0.96
57710,V,1.00
95710,Kl,0.72
41752,C,0.31
23032,S,0.79
25957,S,0.40
6140,Cgx,0.63
17377,Kl,0.30
220906,Ad,0.51
2889,Cgx,0.55
110505,Ad,0.74
77800,Kl,0.30
26985,Ad,0.59
35145,Kl,0.34
22104,Kl,0.36
196484,Ad,0.99
5855,S,0.89
26062,Kl,0.29
53561,V,1.00
59500,V,0.75
159416,Ad,0.54
14387,V,0.99
50330,Kl,0.39
270291,Kl,0.42
25736,Xt,0.32
76456,Kl,0.37
20193,S,0.55
70011,Ad,0.78
73690,Ad,0.56
64623,Ad,0.60
39057,Ad,0.62
155506,Ad,0.55
49568,D,0.28
103543,V,1.00
46750,S,0.52
82690,Xt,0.28
53063,V,0.99
84814,V,1.00
64497,Bk,0.67
159899,Ad,0.64
19850,Kl,0.39
334472,Ad,0.61
25550,S,0.91
53480,S,0.93
54076,V,1.00
93404,S,0.68
47815,C,0.55
57900,S,0.59
135450,Ad,0.90
5521,D,0.81
125785,V,1.00
165123,Ad,0.97
78053,Kl,0.29
190808,Ad,0.79
118557,S,0.97
17756,S,0.67
42113,Ad,0.69
1009,Ad,0.68
280485,Ad,0.62
127057,S,0.93
281821,S,0.20
200558,Ad,0.59
92907,S,0.47
99315,Kl,0.36
152924,V,0.41
153075,Ad,0.26
44001,Ad,0.34
36027,S,0.99
118510,S,0.71
119339,S,0.69
133002,Kl,0.24
101764,Ad,0.89
14328,Ad,0.89
68418,V,0.37
79351,V,0.85
39751,Kl,0.33
196980,Ad,0.50
1639,C,0.66
36621,D,0.34
87558,S,0.54
86530,Ad,0.43
18666,Kl,0.81
54075,Bk,0.97
107432,Kl,0.41
70370,Ad,0.90
19281,V,1.00
72883,C,0.30
16207,Kl,0.61
165115,Kl,0.28
79670,V,0.70
82136,Ad,0.71
88885,Kl,0.52
158459,S,0.30
10103,Bk,0.98
88014,S,0.96
50520,Ad,0.52
201635,Ad,0.94
165125,Ad,0.49
268957,Ad,0.94
103269,Ad,0.38
29119,Bk,0.57
40993,Kl,0.55
158705,Ad,0.22
52104,Kl,0.30
41445,D,0.54
14548,S,0.57
93561,Kl,0.26
5647,S,0.58
104533,Xt,0.20
43605,Ad,0.63
27080,S,0.85
95739,V,0.95
20861,S,0.87
47189,V,1.00
45633,Ad,0.37
10445,S,0.67
2692,Xt,0.52
54153,V,0.98
97513,S,0.47
114112,Ad,0.48
14190,C,0.58
22627,Kl,0.69
82831,V,0.86
14239,Kl,0.91
55882,S,0.30
8050,Ad,0.53
15931,Cgx,0.33
97212,Ad,0.36
89349,Kl,0.66
56267,S,0.34
64536,Ad,0.79
51790,C,0.51
119385,V,1.00
34723,C,0.26
17198,S,0.68
2362,S,0.92
73585,Ad,0.91
3607,S,0.35
92976,S,0.81
93326,Ad,0.48
129571,S,0.93
115037,Cgx,0.34
28863,Kl,0.77
44406,Kl,0.56
375540,Kl,0.26
130788,S,0.52
197860,V,0.83
15290,C,0.59
286707,Bk,0.24
115871,Ad,0.67
132975,C,0.36
236566,Kl,0.73
42833,Kl,0.60
12304,S,0.99
71201,Kl,0.29
15371,Ad,0.94
46485,Ad,0.42
4885,S,0.98
25321,Ad,0.70
56369,V,1.00
13554,Kl,0.72
206576,S,0.33
11462,Ad,0.80
7511,V,0.37
17968,C,0.26
15771,Ad,0.80
83292,S,0.57
34779,D,0.62
66923,Ad,0.76
162170,S,0.55
57927,Ad,0.72
144242,Ad,0.73
46472,Kl,0.76
91113,Xt,0.23
58246,Ad,0.88
197626,V,0.79
198599,Kl,0.28
2394,C,0.97
7666,D,0.60
91313,Kl,0.85
166785,Ad,0.92
54187,Ad,0.18
49608,C,0.25
644,S,0.80
203054,Kl,0.43
61232,Ad,0.40
230262,Ad,0.60
19025,V,1.00
38449,D,0.48
25121,S,0.89
89729,V,1.00
131508,Kl,0.27
11000,Ad,0.94
131237,Kl,0.28
100683,Ad,0.73
343,Kl,0.43
50629,S,0.42
111587,S,0.45
83331,Ad,0.93
61390,D,0.48
119669,Ad,0.62
25142,Xt,0.30
377072,Kl,0.36
113677,C,0.45
96486,Xt,0.35
195402,Ad,0.37
6570,Kl,0.63
105119,Kl,0.34
321118,Ad,0.70
236456,Kl,0.37
125019,Ad,0.67
109892,Kl,0.30
92367,Ad,0.39
77396,Kl,0.49
217562,Ad,0.92
33887,Ad,0.94
55354,Cgx,0.28
58565,Ad,0.67
117664,Ad,0.72
94452,Kl,0.45
236615,Ad,0.53
167115,S,0.52
83093,Kl,0.28
171393,Ad,0.83
124843,V,0.74
36689,Kl,0.49
132261,Ad,0.43
91384,V,1.00
234772,Ad,0.82
19744,Ad,0.94
29036,Kl,0.56
61741,V,1.00
160006,Ad,0.55
12955,S,0.89
53574,S,0.44
19227,S,0.62
164669,Ad,0.73
29402,Ad,0.76
130857,Ad,0.77
61414,S,0.45
173144,S,0.51
8261,C,0.54
283644,Ad,0.80
237668,Ad,1.00
50894,S,0.98
104748,Ad,0.49
63591,Ad,0.82
236639,Ad,0.34
236800,Ad,0.87
19394,Kl,0.88
169228,S,0.38
96708,Bk,0.26
172018,Ad,0.95
53976,S,0.90
92711,V,0.66
77841,C,0.27
15060,S,0.99
36585,S,0.43
133499,Kl,0.26
42018,Ad,0.50
67263,S,0.77
29410,Ad,0.32
97253,Ad,0.86
27760,S,0.56
193381,Ad,0.67
199111,Ad,0.91
195214,Ad,0.96
306026,Ad,0.90
2786,S,0.75
198104,Ad,0.87
10052,S,0.70
6227,Cgx,0.34
234299,Ad,1.00
70160,V,1.00
2114,Xt,0.73
78424,Kl,0.44
235574,Ad,0.59
59361,V,1.00
28756,Kl,0.33
73376,S,0.69
55315,V,1.00
121903,Ad,0.59
192474,S,0.59
98959,S,0.50
3149,S,0.99
112695,Kl,0.34
129474,Kl,0.52
115307,Ad,0.32
68644,S,0.35
10914,C,0.38
194571,S,0.93
19205,Ad,0.74
31211,Bk,0.94
34957,Kl,0.40
65456,Ad,0.53
34852,V,0.89
68844,Ad,0.79
22835,Kl,0.36
92599,Kl,0.40
10558,D,0.55
34142,Ad,0.55
15623,S,0.93
25704,V,0.56
129466,Ad,0.32
23374,Ad,0.27
87687,V,0.97
32313,Kl,0.33
3213,C,0.82
241539,Ad,0.46
31315,C,0.49
10309,Xt,0.29
26795,S,0.98
198507,S,0.53
70659,Ad,0.89
3044,Xt,0.45
195973,Ad,0.65
123295,S,0.56
232645,Ad,1.00
66810,Ad,0.78
134832,S,0.41
143283,D,0.74
41082,S,0.97
67921,S,0.99
397906,Ad,0.45
237098,Ad,0.63
117905,S,0.77
66440,S,0.85
233003,Ad,0.29
18834,S,0.96
207487,Ad,0.71
49531,C,0.93
165049,Ad,0.76
22091,Kl,0.93
45509,S,0.87
67384,S,0.39
392384,Ad,0.75
165420,C,0.61
90128,D,0.45
171368,Ad,0.30
210677,Ad,0.39
101191,S,0.72
25641,Ad,0.40
43168,S,0.98
459867,Ad,0.76
66647,S,0.94
333452,Ad,0.91
119389,Xt,0.56
133512,S,0.50
93057,S,0.88
282079,Kl,0.64
234477,Ad,0.76
2013 WA86,Ad,0.40
234269,Ad,0.91
134842,S,0.49
2011 MZ9,Ad,0.79
134017,Ad,0.65
112531,Ad,0.64
45743,C,0.41
200978,Ad,0.85
88857,Ad,0.88
52013,Ad,0.48
58168,Ad,0.33
384552,Ad,0.55
126608,D,0.45
45804,V,0.89
31207,Kl,0.67
98319,Cgx,0.42
19814,Ad,0.31
82982,D,0.30
202166,Ad,0.42
200755,S,0.46
63958,Ad,0.71
2463,S,1.00
195525,S,0.70
123618,Kl,0.50
39947,S,0.95
2743,S,0.79
198698,Ad,0.61
104942,S,0.53
192847,S,0.51
306768,S,0.43
41784,Ad,0.43
49714,S,0.99
215817,Ad,0.63
470265,Kl,0.25
196514,Ad,0.73
6033,C,0.48
106850,Xt,0.39
82737,Xt,0.30
72217,Kl,0.53
135073,Ad,0.60
23341,Kl,0.34
390453,Ad,0.29
22878,Ad,0.26
301593,Ad,0.83
201193,Ad,0.97
159409,Ad,0.65
70764,V,0.59
176,C,0.61
612,D,0.61
96766,Ad,0.68
116444,Ad,0.78
236174,Ad,0.72
33925,S,0.64
99773,S,0.93
93994,Kl,0.26
87649,Ad,0.59
120879,Ad,0.72
78232,Ad,0.88
93219,V,0.78
93163,Ad,0.26
53608,V,1.00
25866,Kl,0.28
135057,V,1.00
10226,C,0.97
43725,Kl,0.29
52304,S,0.86
13488,Cgx,0.41
40941,Kl,0.27
7702,S,0.99
103345,Ad,0.47
72661,S,0.34
89736,V,1.00
30066,V,0.98
94052,Ad,0.78
56610,V,1.00
30097,V,1.00
115123,S,0.47
58762,Ad,0.66
34115,Ad,0.51
32255,Ad,0.71
126478,Ad,0.49
104960,Ad,0.94
5051,V,1.00
18375,Ad,0.36
46788,S,0.80
91416,Ad,0.40
71668,Ad,0.95
52955,S,0.55
14250,V,0.21
196445,Ad,0.71
4018,Xt,0.22
99752,C,0.29
13270,V,0.53
15151,S,0.99
137672,Ad,0.36
58623,V,1.00
53972,Ad,0.54
43129,S,0.78
160238,Ad,0.80
89177,Kl,0.46
40109,Kl,0.24
42887,D,0.28
7810,V,1.00
14445,Ad,0.87
14357,Ad,0.33
53807,Kl,0.48
18473,Ad,0.42
47117,Ad,0.70
54270,Ad,0.90
13797,S,0.27
17856,S,0.48
22309,Ad,0.52
237323,Ad,0.75
38381,S,0.97
50118,S,0.30
3140,Cgx,0.75
133811,Kl,0.41
46272,Ad,0.56
39652,Kl,0.37
42191,S,0.35
116733,Kl,0.20
205460,V,0.67
87109,Bk,0.61
155955,Kl,0.32
26439,S,0.98
44541,V,1.00
234078,Ad,0.27
169107,Ad,0.22
195622,Kl,0.56
197919,V,0.63
131099,Kl,0.22
59219,Ad,0.28
88438,V,1.00
70019,Kl,0.63
72921,V,0.87
350090,V,0.99
157505,Ad,0.45
44578,Kl,0.44
52841,Ad,0.90
3382,S,0.86
74894,V,0.88
193943,Ad,0.59
90722,Ad,0.64
201680,Kl,0.33
110068,V,1.00
15420,Ad,0.40
47413,S,0.91
150404,V,0.32
29616,Ad,0.35
6877,V,1.00
160315,Ad,0.91
26097,V,1.00
119042,Ad,0.82
19967,S,0.63
43149,S,0.82
6835,Ad,0.53
9795,Bk,0.39
7927,Kl,0.27
86769,C,0.24
30178,Ad,0.64
66994,Ad,0.34
229749,Ad,0.51
12085,Ad,0.71
66802,Kl,0.30
49835,V,0.96
58143,S,0.68
4597,C,0.80
89198,V,0.38
15303,C,0.43
85514,Ad,0.29
58663,Ad,0.66
55410,Kl,0.34
114059,Ad,0.70
30191,V,1.00
14873,S,0.69
159202,V,0.49
189437,Ad,0.95
29004,C,0.37
63059,Ad,0.83
15482,S,0.33
12310,C,0.59
80115,Ad,0.53
34045,Ad,0.54
5795,S,1.00
6472,C,0.81
59719,S,0.88
272078,Ad,0.87
66878,Ad,0.65
161050,V,0.94
10872,V,0.93
45758,Xt,0.31
37362,V,1.00
13563,Ad,0.45
130082,S,0.33
94037,S,0.59
114893,Ad,0.64
38755,Ad,0.51
23563,S,0.66
76184,V,0.46
118534,Kl,0.26
163527,Ad,0.72
91073,S,0.68
21436,Ad,0.52
8930,Ad,0.81
91049,Kl,0.70
1088,S,0.96
45665,Kl,0.94
71617,Kl,0.26
87783,Kl,0.65
7732,Kl,0.78
58992,Ad,0.67
25341,Ad,0.81
15429,S,0.51
4879,Xt,0.50
34801,Kl,0.61
121583,V,0.55
274784,Ad,0.84
5043,D,0.28
28612,Ad,0.44
16278,Ad,0.54
77846,Ad,0.63
38987,Ad,0.60
3574,V,1.00
21344,Xt,0.29
110031,C,0.43
45422,Kl,0.28
101042,S,0.86
336980,Ad,0.27
196519,S,0.41
151931,Kl,0.36
239,Kl,0.46
22194,Kl,0.31
43953,Kl,0.71
117085,C,0.44
130101,Kl,0.49
43188,Kl,0.71
3831,S,0.91
199621,Kl,0.38
22389,C,0.29
73387,S,0.46
335841,V,0.27
232035,Ad,0.87
80537,Ad,0.26
48396,S,0.61
7332,S,0.98
3938,Bk,0.51
23891,Ad,1.00
22739,D,0.33
75249,Ad,0.39
76673,Xt,0.28
47882,Kl,0.39
2921,Kl,0.22
4300,C,0.54
54349,Kl,0.34
13717,S,0.61
15039,Kl,0.49
34416,D,0.24
43291,Ad,0.88
202728,Ad,1.00
42768,S,0.38
46844,Kl,0.34
10906,V,0.37
33148,Kl,0.42
85968,Kl,0.32
22671,Kl,0.32
5413,C,0.99
157844,Ad,0.73
9908,Kl,0.73
126087,Ad,0.90
121172,Ad,0.40
44469,S,0.32
88620,Ad,0.35
62849,S,0.79
10092,Ad,0.63
31041,Ad,0.46
27918,Kl,0.38
22736,S,0.88
22397,S,0.98
51369,S,0.94
4344,C,0.82
48826,Ad,0.74
13911,Kl,0.50
7584,S,0.68
104818,Ad,0.30
25232,S,0.43
30725,Ad,0.42
24578,Kl,0.53
114487,V,0.62
190898,Ad,0.81
7724,S,0.97
10294,Kl,0.52
172184,Ad,0.83
94376,S,0.97
44221,S,0.97
130508,V,1.00
140281,Ad,0.27
32989,Ad,0.47
157120,V,0.97
99033,Xt,0.32
100429,Ad,0.66
4107,Xt,0.54
172739,Ad,0.49
122078,Kl,0.31
4781,D,0.44
103333,Ad,0.85
15296,Ad,0.76
21053,S,0.48
28267,Kl,0.45
49799,S,0.97
35833,V,0.94
278736,Ad,0.48
10018,Xt,0.40
91101,Ad,0.80
31614,C,0.42
3529,Ad,0.24
13966,Kl,0.53
53897,V,0.36
269895,Ad,0.88
59238,S,0.51
26986,Ad,0.76
113611,Ad,0.49
53843,Xt,0.25
10742,S,0.99
11162,S,0.43
101443,Ad,0.62
53183,Kl,0.22
108568,S,0.82
51727,S,0.90
24419,S,0.89
243270,Ad,0.98
280718,Ad,0.43
436595,S,0.24
62083,Ad,0.70
14751,Kl,0.54
196904,Ad,0.70
60527,Bk,0.30
11703,S,0.95
68980,Ad,0.36
53794,S,0.54
154777,Ad,0.61
124593,Ad,0.82
15012,S,0.94
12314,Kl,0.73
2108,Xt,0.79
26579,Kl,0.55
21378,C,0.46
92858,S,0.54
10145,Ad,0.35
99746,Ad,0.24
68125,Ad,0.51
49518,Kl,0.51
31776,S,0.95
76605,Ad,0.22
66528,Ad,0.85
23841,S,0.98
71639,Bk,0.60
15097,D,0.67
232760,Ad,0.96
50290,S,0.57
26240,S,0.85
90389,Ad,0.51
1455,S,0.97
72274,S,0.67
60198,Ad,0.98
63637,Ad,0.63
26346,Kl,0.36
92868,Ad,0.62
38509,Kl,0.27
6181,V,0.84
54898,Ad,0.26
13823,Kl,0.71
148282,V,0.74
31874,Kl,0.71
143753,Ad,0.58
14132,Ad,0.50
44166,S,0.91
42541,Kl,0.32
44929,D,0.40
50152,V,0.94
25670,Kl,0.25
24879,Ad,0.93
51062,S,0.86
63120,Ad,0.58
29223,Ad,0.65
15451,Xt,0.57
12883,S,0.89
66863,Ad,0.83
101088,Ad,0.67
139382,Ad,0.48
192736,Ad,0.57
77829,C,0.48
53578,Ad,0.62
276475,Kl,0.17
89183,Ad,0.69
40898,Ad,0.83
113325,Ad,0.45
92965,S,0.89
91093,Ad,0.95
13906,V,0.92
49497,Ad,0.37
30772,Ad,0.36
125028,V,0.79
27727,V,1.00
91066,S,0.82
133280,Ad,0.83
111743,Ad,0.84
127692,Ad,0.55
113703,V,1.00
87077,Kl,0.62
131165,C,0.38
4794,S,0.93
26316,Xt,0.42
47080,S,0.28
278321,Ad,0.45
86643,Kl,0.24
63351,S,0.52
30835,Kl,0.67
51279,Kl,0.90
150474,Ad,0.77
56721,V,0.98
86674,Ad,0.40
2179,Cgx,0.43
73104,Ad,0.38
770,S,0.77
9125,Ad,0.70
36510,Ad,0.88
41050,S,0.99
12676,S,0.84
158437,Ad,0.52
35502,Ad,0.20
23254,C,0.22
49966,Xt,0.25
47276,Ad,0.83
27518,D,0.68
83282,Ad,0.27
33513,V,1.00
90134,Ad,0.45
7731,Kl,0.41
61323,Ad,0.50
271582,S,0.37
74275,Ad,0.75
76637,Bk,0.49
52303,Ad,0.75
280244,Ad,0.73
96268,Ad,0.48
43043,Ad,0.41
14542,Kl,0.32
80521,Ad,0.98
59559,Ad,0.47
86299,Kl,0.31
12263,V,0.57
41148,Ad,0.46
119281,Ad,0.54
78276,Ad,0.51
15023,S,0.89
114278,Ad,0.57
48655,S,0.80
69838,Ad,0.35
57596,Bk,0.61
5160,Cgx,0.47
14446,C,0.72
193351,Ad,0.66
6085,V,1.00
61169,V,1.00
95723,Ad,0.54
41964,Ad,0.46
223518,Ad,0.97
150912,S,0.38
165092,Ad,0.65
57233,V,1.00
15426,Kl,0.42
53882,V,0.85
61292,V,0.98
45603,C,0.27
72668,V,0.56
29031,Ad,0.78
11365,D,0.56
18906,Kl,0.33
53404,Kl,0.58
30651,S,0.36
55728,Ad,0.77
14849,Kl,0.40
70759,Kl,0.24
75979,Ad,0.52
14410,Kl,0.50
3744,D,0.60
19928,Ad,0.91
64254,Kl,0.33
122082,S,0.84
79439,Ad,0.36
157753,V,0.36
30200,Kl,0.43
72015,Kl,0.23
22225,Kl,0.23
278994,Kl,0.30
64669,Ad,0.74
44180,S,0.75
1765,Xt,0.81
23161,Ad,0.55
14708,Ad,0.82
96452,Kl,0.36
47074,Ad,0.33
124392,Ad,0.88
24569,S,0.75
114416,Kl,0.82
108512,Ad,0.70
121192,V,0.36
45316,S,0.25
30411,Ad,0.61
19150,S,0.94
78759,Ad,0.42
40014,Ad,0.39
4259,Kl,0.63
50550,Bk,0.49
27543,Ad,0.40
14829,S,0.97
50196,V,0.60
87096,Ad,0.36
28835,Ad,0.20
52962,S,0.25
25689,Kl,0.20
96529,Ad,0.42
27404,C,0.29
72756,Kl,0.44
20619,Ad,0.72
822,V,0.85
8017,S,0.83
85324,Ad,0.73
51896,V,0.40
34893,Ad,0.88
124635,Ad,0.77
25155,Ad,0.49
20041,Xt,0.27
60332,D,0.49
237321,Ad,0.60
23040,Ad,0.87
54231,S,0.48
25446,Ad,0.68
59566,Ad,0.37
159385,S,0.45
60876,Ad,0.23
29226,Ad,0.57
27811,Ad,0.32
2708,Kl,0.49
459971,Ad,0.17
28875,Bk,0.57
122521,Ad,0.79
15388,Ad,0.31
26243,S,0.79
135278,Kl,0.24
118004,Ad,0.45
5151,Ad,0.89
10625,Xt,0.31
188437,V,0.30
158435,Ad,0.99
16065,S,0.21
152989,Ad,0.93
27530,Ad,0.89
27415,S,0.82
47261,Ad,0.62
103088,Kl,0.21
228428,Ad,0.99
132915,Ad,0.75
81693,Ad,0.72
63578,Kl,0.38
27649,Ad,0.62
19019,Ad,0.83
6947,S,0.95
47111,Xt,0.18
55456,V,1.00
21418,S,0.94
8745,Ad,0.98
24647,S,0.41
4608,S,0.93
189639,Bk,0.28
98962,Ad,0.29
10613,V,1.00
14105,Bk,0.62
13811,Kl,0.45
121393,Ad,0.41
14739,Kl,0.57
39672,Kl,0.31
20524,S,0.59
36949,Xt,0.47
76370,Ad,0.43
118601,S,0.57
27933,Ad,0.66
30225,Bk,0.76
82441,Ad,0.97
29081,S,0.36
59094,Ad,0.92
19584,Ad,0.68
16918,S,0.43
8757,Ad,0.98
29677,V,1.00
505,C,0.96
112762,Ad,0.47
18867,S,0.98
6483,S,0.87
49889,Ad,0.81
29819,Ad,0.93
83182,Ad,0.86
82710,Kl,0.25
50091,V,1.00
82663,C,0.39
76428,Ad,0.25
51273,S,0.70
24301,S,0.30
61131,Ad,0.66
98577,Ad,0.36
10935,S,0.98
44788,S,0.54
109470,V,1.00
89091,V,1.00
48472,V,1.00
20486,S,0.71
546,Cgx,0.71
29453,V,0.93
95166,S,0.47
126008,Ad,0.49
104446,V,0.79
15203,Kl,0.44
9613,Kl,0.28
66859,Ad,0.92
44712,Ad,0.72
17352,Ad,0.41
9182,D,0.69
120232,V,0.96
53792,S,0.92
37994,Ad,0.48
2393,Xt,0.51
50852,S,0.80
72977,S,0.70
1180,D,0.67
14523,S,0.48
23912,Kl,0.34
14900,Ad,0.86
29539,S,0.38
51143,C,0.42
4855,S,0.98
55257,S,0.37
7373,Cgx,0.38
188228,Ad,0.82
22995,Kl,0.35
127110,Ad,0.75
153009,Ad,0.28
48732,Kl,0.23
77448,V,0.38
53703,V,0.49
27343,V,1.00
23465,S,0.95
44082,S,0.50
3993,S,0.59
155967,Ad,0.35
69880,S,0.57
9727,S,0.99
104520,Ad,0.93
25436,S,0.98
80595,V,0.88
19210,Ad,0.82
80525,V,1.00
13757,C,0.33
73583,Ad,0.68
2424,C,0.69
57684,S,0.30
32986,S,0.49
44074,S,0.57
12289,V,1.00
3798,S,1.00
67221,Bk,0.52
15669,Bk,0.46
60500,Ad,0.88
4251,S,0.93
6514,Bk,0.74
23220,D,0.47
24790,Ad,0.62
119072,V,0.92
49824,Kl,0.26
5952,V,1.00
31514,V,1.00
27837,Ad,0.73
191692,Ad,0.35
16672,Ad,0.42
22269,S,0.61
29635,V,0.99
2200,S,0.88
109036,Ad,0.83
3014,S,0.78
133258,Ad,0.83
49622,Bk,0.47
347220,Ad,0.57
47089,V,0.95
26949,Ad,0.82
52971,V,0.97
28866,Ad,0.77
27377,V,0.98
155717,Ad,0.84
215006,Ad,0.82
102217,V,0.96
62784,Kl,0.47
170903,Ad,0.81
211410,Ad,0.55
4099,S,0.99
20018,S,0.76
38878,S,0.51
46649,Ad,0.49
7728,Kl,0.41
62321,C,0.69
90556,Ad,0.87
12924,Ad,0.30
69831,Ad,0.74
17664,Ad,0.54
9348,S,1.00
115761,Kl,0.40
22419,Ad,0.91
9239,Ad,0.65
109800,Ad,0.74
28788,D,0.57
2727,Ad,0.81
5741,Ad,0.67
93708,S,0.59
118624,Ad,0.52
54228,V,0.55
71723,Ad,0.86
21563,Bk,0.45
114481,Ad,0.75
14111,Ad,0.79
13486,Cgx,0.48
11785,Kl,0.93
24789,Ad,0.29
9169,S,0.52
53045,Ad,0.53
40922,Ad,0.50
51306,Ad,0.72
2462,S,0.98
63810,Kl,0.37
26799,Kl,0.49
63344,D,0.57
179990,Kl,0.33
46173,S,0.87
56495,V,0.40
20687,S,0.73
3891,S,0.95
16080,S,0.91
199951,Ad,0.76
159108,Ad,0.88
50757,Kl,0.37
3885,S,0.67
74404,Ad,0.76
58699,Ad,0.59
46374,Kl,0.33
26488,Kl,0.48
46785,Ad,0.35
49538,Ad,0.61
15757,V,0.99
51849,V,0.65
33419,Kl,0.53
50809,Ad,0.94
55190,Ad,0.95
13381,Ad,0.51
4478,V,0.72
40997,V,0.61
6863,Ad,0.37
89677,S,0.23
30242,V,0.48
12325,D,0.39
247817,Ad,0.79
60523,Ad,0.69
158425,Ad,0.96
4733,Kl,0.87
49796,Ad,0.68
28130,Ad,0.39
192170,S,0.30
6012,S,0.54
2367,V,0.67
62343,Ad,0.43
114372,V,0.49
131583,S,0.29
26387,S,0.99
91930,Ad,0.65
196482,Ad,0.82
36655,V,0.65
60549,V,0.74
70697,Ad,0.71
52804,Ad,0.65
28335,D,0.38
37448,Ad,0.79
96871,Ad,0.92
98808,Kl,0.37
22638,S,0.58
38967,Ad,0.81
54753,V,0.66
27452,Ad,0.86
2046,Cgx,0.63
77489,Ad,0.92
9654,S,0.45
84911,Ad,0.71
130152,Ad,0.62
11062,Kl,0.49
71278,Bk,0.41
111620,Kl,0.44
104577,S,0.33
61736,V,1.00
117110,V,0.62
95797,V,0.60
277701,Ad,0.45
27539,V,0.64
160836,Ad,0.33
65591,Ad,0.94
51946,Ad,0.24
122673,Ad,0.90
93545,Ad,0.78
11049,Kl,0.33
159095,Ad,0.90
37859,Ad,0.76
44020,S,0.44
8936,V,0.96
40091,Xt,0.22
28678,S,0.74
7833,D,0.53
535,Xt,0.38
4389,S,0.85
21422,V,0.96
13830,Ad,0.69
798,Cgx,0.46
124770,Ad,0.57
48621,Ad,0.53
57733,Ad,0.88
36394,Ad,0.87
57788,S,0.62
24873,S,0.48
119270,Ad,0.39
28895,Kl,0.41
28656,Ad,0.99
36006,Ad,0.68
19738,V,1.00
28574,Bk,0.28
87202,V,1.00
24223,Ad,0.63
307,Xt,0.45
17647,S,0.62
21488,Ad,0.60
39824,Ad,0.97
17302,Ad,0.96
22125,V,0.55
85298,Ad,0.75
91050,Ad,0.59
15832,V,0.98
12259,Ad,1.00
95230,Kl,0.24
55890,C,0.30
60356,V,0.58
50990,Ad,0.22
99776,Ad,0.78
34880,Ad,0.41
25788,S,0.76
44620,Ad,0.61
39926,V,1.00
28611,S,0.53
26999,S,0.98
126322,D,0.36
211419,Ad,0.38
111528,Ad,0.42
2502,Bk,0.96
130003,S,0.98
114700,Ad,0.69
55417,Bk,0.36
140601,Ad,0.42
64309,Kl,0.42
298922,Ad,0.32
446728,Ad,0.80
86462,S,0.84
37062,S,0.96
176596,Ad,0.95
307776,V,0.75
299538,Ad,0.83
162140,Ad,0.74
5631,V,1.00
50539,Ad,0.55
47796,Ad,0.66
60836,Ad,0.70
75033,S,0.45
6636,V,0.85
3010,C,0.52
63323,Ad,0.48
15531,Ad,0.50
43549,S,0.76
120751,S,0.41
43313,Ad,0.79
101837,Ad,0.58
14647,Ad,0.42
9388,Xt,0.20
86,Cgx,0.66
16199,Kl,0.32
21705,Kl,0.54
69817,Ad,0.48
41709,Ad,0.83
80158,Ad,0.89
15350,Ad,0.65
103431,V,0.79
171659,V,0.61
16174,Ad,0.88
5942,C,0.38
14426,Kl,0.66
10801,V,0.49
26433,V,1.00
120715,Ad,0.37
58170,Ad,0.81
525,S,1.00
86025,Ad,0.45
40686,Ad,0.92
84729,V,0.57
19404,S,0.64
22774,Bk,0.67
63818,Ad,0.26
43855,S,0.86
52795,Kl,0.24
12820,Bk,1.00
54410,Ad,0.34
47518,Ad,0.68
1419,S,0.69
71727,Ad,0.37
28216,Ad,0.63
93135,D,0.22
3478,Ad,0.78
12470,S,0.99
48631,Ad,0.72
3882,V,1.00
9437,S,0.90
86676,Ad,0.45
26259,Ad,0.79
14633,Ad,0.64
53490,V,0.93
228665,Ad,0.37
84784,Ad,0.98
358667,Ad,0.80
2007 CT23,Kl,0.22
299379,Ad,0.97
127655,Bk,0.36
54659,Ad,0.39
11658,Xt,0.44
69536,S,0.86
17997,S,0.73
37014,Kl,0.32
5651,D,0.48
111448,S,0.52
161506,Ad,0.46
301744,Ad,0.84
23693,S,0.74
131211,Ad,0.77
76718,S,0.74
111316,Ad,0.44
300217,Ad,0.60
39001,Ad,0.58
63213,Kl,0.78
50141,Ad,0.53
131241,S,0.84
189862,Ad,0.66
201148,Ad,0.98
62182,S,0.93
751,Kl,0.44
109733,Ad,0.81
72420,Ad,0.67
136199,Bk,0.99
55956,D,0.51
45465,Kl,0.31
297947,Kl,0.32
42315,Xt,0.26
146790,Kl,0.36
176533,Ad,0.30
57813,Kl,0.24
208762,Ad,0.84
108119,S,0.67
7878,S,0.97
87975,Kl,0.22
123591,S,0.56
301773,Ad,0.92
77429,S,0.89
44555,Xt,0.39
83941,Ad,0.69
159463,Kl,0.80
106722,Ad,0.22
117705,Ad,0.96
11140,Cgx,0.54
63484,S,0.41
33733,C,0.69
115866,Ad,0.35
165075,Ad,0.42
118075,Ad,0.99
223161,Ad,0.67
276857,Ad,0.49
108835,V,1.00
15528,Kl,0.88
203721,Ad,1.00
93952,S,0.86
8643,S,0.89
273853,Ad,0.55
43403,Ad,0.69
70979,Kl,0.30
134800,Ad,0.44
114613,Xt,0.33
97311,S,0.92
170764,Ad,0.83
23215,Kl,0.48
77656,Bk,0.65
