#MainDesig,ProbClass,ProbProb
1808,Kl,0.59
44880,V,0.71
71379,Kl,0.51
80492,Ad,0.81
402609,Ad,0.98
22371,Ad,0.61
168739,Ad,0.72
96444,Kl,0.53
30902,S,0.27
21813,Bk,0.68
186790,Ad,0.60
25565,Ad,0.59
132620,Ad,0.94
19264,D,0.40
130517,Ad,0.32
96651,C,0.38
2508,V,1.00
79992,Ad,0.90
50531,Ad,0.37
42798,Kl,0.26
23350,S,0.70
166113,Ad,0.69
31656,Cgx,0.56
31771,Ad,0.51
31699,Ad,0.77
77850,Ad,0.82
20117,S,0.95
86849,Ad,0.58
125854,Ad,0.90
4094,Kl,0.69
10025,Xt,0.59
76506,Ad,0.63
79063,Ad,0.93
24864,S,0.87
15892,Ad,0.24
28659,Kl,0.90
19658,Ad,0.42
71056,Ad,0.49
3498,V,0.97
41717,V,1.00
56377,Ad,0.48
6094,S,0.99
60679,Kl,0.43
61479,Ad,0.87
18110,V,0.96
76599,Kl,0.26
108366,C,0.29
25837,Ad,0.43
12166,Ad,0.86
63375,S,0.61
18104,Ad,0.79
6891,Kl,0.62
99383,S,0.62
129776,Kl,0.59
1734,Kl,0.91
60449,S,0.71
13585,Kl,0.27
40023,S,0.89
15968,Kl,0.45
10929,C,0.46
25662,D,0.45
509,Kl,0.61
18754,V,1.00
16025,D,0.83
9197,V,1.00
1738,Ad,0.98
4895,D,0.42
94479,Ad,0.70
83390,Ad,0.41
29838,Ad,0.83
90706,Ad,0.86
10920,Xt,0.33
107138,Ad,0.54
50802,S,0.40
59477,Ad,0.76
203675,Ad,0.67
239196,Ad,0.76
13341,D,0.50
205436,D,0.38
50030,Kl,0.36
21241,Ad,0.77
26213,Ad,1.00
21452,S,0.48
286852,Kl,0.43
104207,Ad,1.00
83516,Ad,0.48
116814,Ad,0.26
392,Xt,0.39
339424,Ad,0.28
104024,S,0.59
67850,V,1.00
36320,V,0.43
9897,S,0.61
90891,Ad,0.64
9133,V,0.73
70420,Kl,0.58
71306,S,0.90
23472,V,0.85
71767,Kl,0.69
24816,S,0.52
42961,Ad,0.39
132542,Ad,0.97
163151,V,0.93
169400,Ad,0.68
25862,D,0.32
32600,Xt,0.31
196962,Xt,0.33
53376,Xt,0.40
57371,Cgx,0.36
39859,C,0.22
5845,D,0.63
176293,Ad,0.92
176636,C,0.48
134344,C,0.60
81364,Ad,0.85
3040,Bk,0.97
23174,S,0.47
17532,Ad,0.45
440967,Ad,0.61
178669,V,0.92
46993,S,0.97
263190,Ad,0.97
215139,Kl,0.26
7587,S,1.00
117235,Xt,0.29
134728,S,0.51
142492,Kl,0.41
86153,Kl,0.54
479207,Ad,0.81
7374,Ad,0.67
19766,V,1.00
162809,Ad,0.33
110329,Ad,0.45
72350,V,0.78
35395,Ad,0.36
66286,V,1.00
12262,Kl,0.69
22880,V,1.00
32266,Cgx,0.29
28233,S,0.99
172447,V,1.00
308785,Kl,0.28
103103,S,0.40
241094,Ad,0.56
62832,D,0.35
