MainDesig,TaxClass,MCProb
95818,S,0.760821
132538,Ds,0.23279
5333,Kl,0.941361
77589,V,0.750746
232741,Ds,0.623554
29209,S,0.833315
108470,V,0.630939
122193,C,0.919036
39702,S,0.612029
3916,C,0.988238
22934,Ds,0.811254
27232,Ds,0.638832
175411,Ad,0.593639
73665,Ad,0.360871
33756,C,0.87506
2542,Xt,0.886873
54667,V,0.999331
71850,V,0.973894
21828,C,0.484523
117966,S,0.622277
1808,Cgx,0.594579
44880,V,0.498832
71379,Cgx,0.438636
80492,Ds,0.608943
402609,Ad,0.970146
22371,Ds,0.470491
168739,Ds,0.344083
96444,Kl,0.497175
30902,S,0.324694
21813,C,0.603249
186790,Ds,0.605682
25565,Ds,0.420607
132620,Ad,0.995894
19264,Ds,0.390653
130517,C,0.556668
96651,C,0.797795
2508,V,1.0
79992,Ds,0.867594
50531,Ds,0.352561
42798,S,0.346545
23350,S,0.858562
166113,Ds,0.497348
31656,Cgx,0.786373
31771,S,0.453262
31699,Ds,0.57596
77850,Ds,0.597346
20117,S,0.999975
86849,S,0.454008
125854,Ad,0.841953
4094,Kl,0.449312
10025,S,0.340649
76506,Ad,0.57533
79063,Ad,0.992034
24864,S,0.82093
15892,C,0.365472
28659,Kl,0.494578
19658,Ds,0.249868
71056,S,0.495726
3498,V,0.804414
41717,V,0.819889
56377,Ad,0.596671
6094,S,1.0
60679,C,0.320801
61479,Ds,0.588845
18110,S,0.55859
76599,Kl,0.289255
108366,C,0.568413
25837,Ds,0.553211
12166,S,0.529276
63375,S,0.683593
18104,S,0.47405
6891,Kl,0.702561
99383,S,0.740202
129776,Bk,0.424333
1734,Kl,0.856437
60449,S,0.746283
13585,S,0.314031
40023,S,0.995118
15968,S,0.544525
10929,C,0.60293
25662,Ds,0.664359
509,S,1.0
18754,V,1.0
16025,Ds,0.982232
9197,V,1.0
1738,S,1.0
4895,S,0.54251
94479,Ds,0.657663
83390,Ad,0.222175
29838,Ad,0.592507
90706,Ds,0.509071
10920,Kl,0.773399
107138,S,0.423797
50802,S,0.626078
59477,Ds,0.955603
203675,S,0.373152
239196,Ad,0.413151
13341,Ds,0.878905
205436,S,0.583231
50030,S,0.49737
21241,Ad,0.411509
26213,Ad,0.925123
